task_id,template,model_without_references,model_with_references,anchor_genre,platform_family,source_game_name,delta_model_vs_template,delta_model_refs_vs_template,delta_refs_vs_no_refs,reference_effect_group
TASK_102623,83.33,86.67,86.67,Adventure,Nintendo,Escape Game: Aloha,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_107196,80.0,83.33,83.33,Simulator,Nintendo,Gear.Club Unlimited 2,3.3299999999999983,3.3299999999999983,0.0,Игровые аналоги не дали выраженного изменения
TASK_10966,76.67,83.33,83.33,Strategy,Xbox,Fathom,6.659999999999997,6.659999999999997,0.0,Игровые аналоги не дали выраженного изменения
TASK_112082,76.67,80.0,83.33,Role-playing (RPG),Nintendo,Destiny Connect: Tick-Tock Travelers,3.3299999999999983,6.659999999999997,3.3299999999999983,Игровые аналоги заметно улучшили результат
TASK_122266,80.0,86.67,93.33,Adventure,Nintendo,"Dragon Quest 1, 2, 3 Collection",6.670000000000002,13.329999999999998,6.659999999999997,Игровые аналоги заметно улучшили результат
TASK_136195,80.0,83.33,83.33,Adventure,PlayStation,Kandagawa Jet Girls: Racing Hearts Edition,3.3299999999999983,3.3299999999999983,0.0,Игровые аналоги не дали выраженного изменения
TASK_138332,80.0,86.67,86.67,Shooter,PlayStation,Moose Life,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_144870,83.33,86.67,86.67,Puzzle,PlayStation,Puzzling Places,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_145741,90.0,86.67,83.33,Puzzle,Xbox,Mastho is Together,-3.3299999999999983,-6.670000000000002,-3.3400000000000034,Игровые аналоги заметно ухудшили результат
TASK_147738,80.0,86.67,86.67,Shooter,PC,Gryphon Knight Epic: Definitive Edition,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_14887,83.33,86.67,86.67,Simulator,Xbox,Championship Manager 2007,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_148964,83.33,86.67,86.67,Shooter,Xbox,Warstride Challenges,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_152428,83.33,86.67,86.67,Puzzle,Nintendo,Sweet Sugar Candy,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_16173,80.0,86.67,86.67,Strategy,Xbox,Magic: The Gathering - Duels of the Planeswalkers 2012,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_171103,80.0,86.67,86.67,Role-playing (RPG),PC,Wraiths of Sentinel,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_172625,80.0,86.67,86.67,Adventure,Xbox,LEGO Dimensions: Excalibur Batman Fun Pack,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_173725,76.67,80.0,83.33,Simulator,PC,The Tower of TigerQiuQiu 2: Warp Tiger M03,3.3299999999999983,6.659999999999997,3.3299999999999983,Игровые аналоги заметно улучшили результат
TASK_177379,73.33,83.33,83.33,Puzzle,PC,Friagem,10.0,10.0,0.0,Игровые аналоги не дали выраженного изменения
TASK_178787,83.33,83.33,83.33,Shooter,PlayStation,Galaxy Shooter,0.0,0.0,0.0,Игровые аналоги не дали выраженного изменения
TASK_183639,73.33,83.33,83.33,Role-playing (RPG),PlayStation,Fortnite: Chapter 3,10.0,10.0,0.0,Игровые аналоги не дали выраженного изменения
TASK_187480,73.33,83.33,83.33,Role-playing (RPG),Nintendo,Dungeons of Shalnor,10.0,10.0,0.0,Игровые аналоги не дали выраженного изменения
TASK_19280,56.67,86.67,76.67,Strategy,PC,GeneRally,30.0,20.0,-10.0,Игровые аналоги заметно ухудшили результат
