task_id,source_game_id,source_game_name,task_platform_family,task_anchor_genre,reference_rank,reference_game_id,reference_game_name,reference_platform_family,reference_anchor_genre,reference_genres_text,reference_release_year,reference_description_length,similarity_score,reference_game_name_from_corpus,reference_text_description,platform_family,anchor_genre,genre_names_text,release_year_valid,description_length,source_name_norm,reference_name_norm
TASK_102623,102623,Escape Game: Aloha,Nintendo,Adventure,1,110803,Rooms: The Adventure of Anne & George,Nintendo,Adventure,"Puzzle, Adventure",2018.0,160,0.3055186974770534,Rooms: The Adventure of Anne & George,Rooms The Adventure of Anne and George is a mystery adventure puzzle game where players move rooms that slide like puzzles to escape from the mysterious mansion,Nintendo,Adventure,"Puzzle, Adventure",2018.0,160,escape game aloha,rooms the adventure of anne george
TASK_102623,102623,Escape Game: Aloha,Nintendo,Adventure,2,86466,Kate's Test,PC,Adventure,"Role-playing (RPG), Adventure",2018.0,120,0.2571633628993064,Kate's Test,Help Kate solve puzzles and escape trouble as she learns to use her new body in this cute and lewd action adventure game,PC,Adventure,"Role-playing (RPG), Adventure",2018.0,120,escape game aloha,kate s test
TASK_102623,102623,Escape Game: Aloha,Nintendo,Adventure,3,207703,Spiderbro,PC,Adventure,"Puzzle, Adventure, Indie",2022.0,202,0.2534506037305777,Spiderbro,Help Spiderbro through a strange dystopia and overcome the shadow spider that is constantly hindering you Collect items and solve puzzles and keep moving dont let the shadow spider get the better of you,PC,Adventure,"Puzzle, Adventure, Indie",2022.0,202,escape game aloha,spiderbro
TASK_102623,102623,Escape Game: Aloha,Nintendo,Adventure,4,84519,Hideaways: Foggy Valley,Nintendo,Puzzle,Puzzle,2014.0,105,0.2351033145207643,Hideaways: Foggy Valley,Beautiful vistas natural landscapes and rustic buildings are filled with missing items that you must find,Nintendo,Puzzle,Puzzle,2014.0,105,escape game aloha,hideaways foggy valley
TASK_107196,107196,Gear.Club Unlimited 2,Nintendo,Simulator,1,231231,Uphill Rush Water Park Racing,Nintendo,Simulator,"Racing, Simulator, Sport, Arcade",2023.0,95,0.3077702174470196,Uphill Rush Water Park Racing,Get ready for some extreme waterslide action in the worlds craziest water park racing simulator,Nintendo,Simulator,"Racing, Simulator, Sport, Arcade",2023.0,95,gear club unlimited 2,uphill rush water park racing
TASK_107196,107196,Gear.Club Unlimited 2,Nintendo,Simulator,2,245896,Drone Master Racing,Nintendo,Simulator,"Racing, Simulator",2023.0,117,0.2722126844135121,Drone Master Racing,This drone simulator is an exciting experience for up to 5 players to play perfect for fans of racing and competition,Nintendo,Simulator,"Racing, Simulator",2023.0,117,gear club unlimited 2,drone master racing
TASK_107196,107196,Gear.Club Unlimited 2,Nintendo,Simulator,3,158420,Extreme Racing,PC,Simulator,"Racing, Simulator, Sport, Indie",2021.0,276,0.259089574507872,Extreme Racing,Extreme Racing is a wonderful racing game in which you will enjoy spending your time and at the same time test your driving skills in a cool racing mode If you are attracted to the big magical world of speed and offscale adrenaline then the game Extreme Racing is just for you,PC,Simulator,"Racing, Simulator, Sport, Indie",2021.0,276,gear club unlimited 2,extreme racing
TASK_107196,107196,Gear.Club Unlimited 2,Nintendo,Simulator,4,115934,Motorsport Manager for Nintendo Switch,Nintendo,Simulator,"Racing, Simulator, Sport, Strategy",2019.0,371,0.2550273849782211,Motorsport Manager for Nintendo Switch,In Motorsport Manager for Nintendo Switch the console debut for the series you will build customize and lead your very own highperformance Motorsport team through 9 tiers of racing action across three car classes to become number one Race to win in this immersive management strategy title where realtime racing decision making and forward planning are the key to victory,Nintendo,Simulator,"Racing, Simulator, Sport, Strategy",2019.0,371,gear club unlimited 2,motorsport manager for nintendo switch
TASK_10966,10966,Fathom,Xbox,Strategy,1,130143,Phalanx of Resistance,PC,Strategy,Strategy,2020.0,98,0.2697459218964682,Phalanx of Resistance,Phalanx of Resistance is the Tower Defense Real Time Strategy mixture you have never played before,PC,Strategy,Strategy,2020.0,98,fathom,phalanx of resistance
TASK_10966,10966,Fathom,Xbox,Strategy,2,21119,Officers,PC,Strategy,"Real Time Strategy (RTS), Strategy",2008.0,118,0.261888159245722,Officers,Officers is a Real Time Strategy Game for the PC set during World War II and features three distinct campaigns to play,PC,Strategy,"Real Time Strategy (RTS), Strategy",2008.0,118,fathom,officers
TASK_10966,10966,Fathom,Xbox,Strategy,3,20531,Rise and Fall: Civilizations at War,PC,Strategy,"Shooter, Real Time Strategy (RTS), Strategy",2006.0,110,0.2434411711645593,Rise and Fall: Civilizations at War,Rise Fall Civilizations at War is a realtime strategy game where players can directly control individual units,PC,Strategy,"Shooter, Real Time Strategy (RTS), Strategy",2006.0,110,fathom,rise and fall civilizations at war
TASK_10966,10966,Fathom,Xbox,Strategy,4,3930,Generation of Chaos Exceed,Nintendo,Strategy,"Shooter, Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)",2003.0,107,0.2395566408298431,Generation of Chaos Exceed,Generation of Chaos Exceed is a Strategy game published by Idea Factory which was released in Japan in 2003,Nintendo,Strategy,"Shooter, Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)",2003.0,107,fathom,generation of chaos exceed
TASK_112082,112082,Destiny Connect: Tick-Tock Travelers,Nintendo,Role-playing (RPG),1,157930,破坏效应,PC,Role-playing (RPG),Role-playing (RPG),2020.0,106,0.3600897887482268,破坏效应,破坏效应是一款融合了MMO和MOBA双玩法的游戏暗黑式ARPG英雄乱斗立体地下城对战非对称式英雄阵营自定义动作技能开启不一样的战场体验力求让玩家体验最没有束缚的乱斗快感从一场战斗开始你无所不能异世英雄即刻乱斗上场,PC,Role-playing (RPG),Role-playing (RPG),2020.0,106,destiny connect tick tock travelers,
TASK_112082,112082,Destiny Connect: Tick-Tock Travelers,Nintendo,Role-playing (RPG),3,156786,Home and Dungeon,PC,Role-playing (RPG),Role-playing (RPG),2020.0,95,0.3600897887482268,Home and Dungeon,在幻想的世界里冒险采集建造城镇过上梦想中的慢生活是这款RPG游戏的主打特色在体验RPG内容的同时还可以享受到其他丰富多彩的要素些许的好奇心便能带你领略这款独一无二的日式RPG游戏一起来探索吧,PC,Role-playing (RPG),Role-playing (RPG),2020.0,95,destiny connect tick tock travelers,home and dungeon
TASK_112082,112082,Destiny Connect: Tick-Tock Travelers,Nintendo,Role-playing (RPG),4,156638,传奇世界之仗剑天涯H5,PC,Role-playing (RPG),Role-playing (RPG),2020.0,88,0.3600897887482268,传奇世界之仗剑天涯H5,传奇世界之仗剑天涯H5荣耀版资料片燃爆来袭不再是广告多倍升级万倍伤害天天攻沙流水线挂机刷怪高画质更流畅酷炫拽技能免费抽极炫外观任意搭震撼视觉狂战氛围快来觉醒传世魂轻狂热血续青春,PC,Role-playing (RPG),Role-playing (RPG),2020.0,88,destiny connect tick tock travelers,h5
TASK_122266,122266,"Dragon Quest 1, 2, 3 Collection",Nintendo,Adventure,1,80596,Dragon Quest Monsters: Terry no Wonderland 3D,Nintendo,Adventure,"Role-playing (RPG), Adventure",2012.0,157,0.4196024165066907,Dragon Quest Monsters: Terry no Wonderland 3D,Dragon Quest Monsters Terry no Wonderland 3D is the Nintendo 3DS 2012 remake of the 1999 Dragon Quest Monsters Published by Square Enix and developed by TOSE,Nintendo,Adventure,"Role-playing (RPG), Adventure",2012.0,157,dragon quest 1 2 3 collection,dragon quest monsters terry no wonderland 3d
TASK_122266,122266,"Dragon Quest 1, 2, 3 Collection",Nintendo,Adventure,2,1821,Dragon Quest X Online,Nintendo,Role-playing (RPG),"Role-playing (RPG), Turn-based strategy (TBS)",2012.0,111,0.3593094130000528,Dragon Quest X Online,Dragon Quest X is a subscriptionbased MMORPG in the Dragon Quest universe It has had 5 expansions since release,Nintendo,Role-playing (RPG),"Role-playing (RPG), Turn-based strategy (TBS)",2012.0,111,dragon quest 1 2 3 collection,dragon quest x online
TASK_122266,122266,"Dragon Quest 1, 2, 3 Collection",Nintendo,Adventure,3,1817,Dragon Quest VI: Realms of Revelation,Nintendo,Role-playing (RPG),"Role-playing (RPG), Sport",2010.0,298,0.3328981629393445,Dragon Quest VI: Realms of Revelation,Dragon Quest VI did not receive an enhanced remake on a console until the Nintendo DS The Dragon Quest VI enhanced remake for the Nintendo DS was announced in late 2007 by Square Enix and was developed by ArtePiazza A handful of changes were made to the game some remaining controversial among fans,Nintendo,Role-playing (RPG),"Role-playing (RPG), Sport",2010.0,298,dragon quest 1 2 3 collection,dragon quest vi realms of revelation
TASK_122266,122266,"Dragon Quest 1, 2, 3 Collection",Nintendo,Adventure,4,149989,Dragon Quest X Offline,Nintendo,Role-playing (RPG),Role-playing (RPG),2022.0,129,0.3219129739386779,Dragon Quest X Offline,Set for release in 2022 Dragon Quest X Offline is a standalone singleplayer remake of the 2012 MMORPG title Dragon Quest X Online,Nintendo,Role-playing (RPG),Role-playing (RPG),2022.0,129,dragon quest 1 2 3 collection,dragon quest x offline
